order_id,order_date,customer_id,region,category,product,quantity,unit_price,sales,cost,discount
1010,2024-01-01,CUST-013,South,Technology,Phone,13,146.01,1898.13,1677.39,0.1
2901,2024-01-01,CUST-050,North,Office,Binders,10,648.5,6485.0,4961.3,0.05
1865,2024-01-01,CUST-055,South,Technology,Phone,1,307.99,307.99,228.56,0.0
3198,2024-01-01,CUST-015,North,Office,Stapler,3,670.79,2012.37,1737.33,0.0
2374,2024-01-01,CUST-006,South,Technology,Phone,6,773.7,4642.2,2832.0,0.15
2827,2024-01-02,CUST-002,North,Technology,Monitor,13,203.42,2644.46,1789.71,0.1
2402,2024-01-03,CUST-054,East,Office,Paper,5,253.36,1266.8,826.9,0.0
2518,2024-01-04,CUST-056,East,Furniture,Chair,13,776.58,10095.54,6988.54,0.1
1812,2024-01-06,CUST-001,North,Office,Pens,1,377.74,377.74,320.85,0.1
2822,2024-01-06,CUST-006,South,Office,Binders,3,554.08,1662.24,1406.22,0.0
3581,2024-01-06,CUST-016,South,Technology,Laptop,13,274.26,3565.38,2357.03,0.0
1061,2024-01-06,CUST-037,West,Technology,Router,8,331.73,2653.84,1596.72,0.15
3443,2024-01-06,CUST-056,East,Furniture,Bookcase,14,432.29,6052.06,5214.3,0.1
2761,2024-01-06,CUST-054,East,Technology,Laptop,6,557.42,3344.52,2540.34,0.2
3572,2024-01-07,CUST-034,East,Furniture,Chair,10,591.35,5913.5,3524.9,0.05
2404,2024-01-07,CUST-053,West,Technology,Router,15,501.84,7527.6,5426.55,0.0
3585,2024-01-07,CUST-029,North,Office,Stapler,12,760.58,9126.96,7074.36,0.0
1922,2024-01-07,CUST-009,West,Technology,Router,13,143.05,1859.65,1595.36,0.0
1660,2024-01-08,CUST-019,West,Office,Stapler,5,167.44,837.2,668.25,0.2
1183,2024-01-08,CUST-032,North,Office,Pens,1,192.0,192.0,171.75,0.0
3711,2024-01-08,CUST-033,East,Office,Pens,6,310.46,1862.76,1060.92,0.05
1612,2024-01-08,CUST-033,East,Technology,Laptop,3,777.87,2333.61,1915.11,0.1
2397,2024-01-08,CUST-032,North,Office,Paper,7,30.84,215.88,133.07,0.2
2328,2024-01-08,CUST-016,South,Furniture,Table,11,613.22,6745.42,3732.41,0.0
2266,2024-01-08,CUST-037,West,Furniture,Desk,9,579.08,5211.72,3703.59,0.0
1524,2024-01-09,CUST-056,East,Office,Paper,8,730.98,5847.84,4541.28,0.1
2503,2024-01-09,CUST-040,North,Office,Paper,12,636.66,7639.92,6073.08,0.1
1690,2024-01-09,CUST-050,North,Technology,Router,2,564.63,1129.26,802.94,0.15
1417,2024-01-09,CUST-031,West,Technology,Monitor,10,196.43,1964.3,1547.9,0.0
2060,2024-01-09,CUST-058,South,Office,Paper,9,696.22,6265.98,5327.19,0.05
3588,2024-01-09,CUST-039,West,Technology,Laptop,11,257.8,2835.8,1651.65,0.05
1040,2024-01-10,CUST-041,East,Furniture,Desk,12,364.63,4375.56,3487.2,0.1
3996,2024-01-10,CUST-013,South,Technology,Monitor,9,795.33,7157.97,5499.18,0.0
2193,2024-01-10,CUST-022,South,Technology,Monitor,11,739.36,8132.96,6206.09,0.0
2453,2024-01-10,CUST-016,South,Technology,Phone,3,752.11,2256.33,1714.53,0.2
3720,2024-01-10,CUST-026,South,Office,Pens,10,494.43,4944.3,3115.5,0.0
2197,2024-01-10,CUST-054,East,Office,Paper,2,380.9,761.8,668.62,0.05
1670,2024-01-11,CUST-034,East,Furniture,Chair,13,659.78,8577.14,6639.62,0.05
3999,2024-01-11,CUST-005,South,Office,Paper,11,722.7,7949.7,6551.82,0.0
2569,2024-01-11,CUST-059,East,Technology,Phone,10,100.14,1001.4,629.3,0.2
1869,2024-01-12,CUST-054,East,Furniture,Desk,5,798.02,3990.1,3130.35,0.0
3175,2024-01-12,CUST-005,South,Office,Paper,15,20.21,303.15,170.1,0.0
2633,2024-01-12,CUST-053,West,Furniture,Desk,1,241.07,241.07,142.72,0.05
3148,2024-01-12,CUST-052,East,Office,Pens,4,636.75,2547.0,1777.92,0.2
3033,2024-01-13,CUST-036,North,Technology,Phone,2,151.44,302.88,268.74,0.1
1888,2024-01-13,CUST-015,North,Furniture,Table,8,224.85,1798.8,1323.28,0.05
1507,2024-01-13,CUST-006,South,Furniture,Table,9,274.38,2469.42,1596.87,0.05
3864,2024-01-14,CUST-027,South,Furniture,Desk,12,27.96,335.52,199.44,0.15
1993,2024-01-14,CUST-018,South,Office,Pens,2,436.85,873.7,588.06,0.0
2426,2024-01-14,CUST-012,North,Furniture,Table,6,280.74,1684.44,992.22,0.15
3831,2024-01-14,CUST-005,South,Technology,Laptop,7,771.73,5402.11,4047.75,0.1
3727,2024-01-14,CUST-056,East,Technology,Monitor,10,484.51,4845.1,4261.8,0.05
3065,2024-01-15,CUST-043,South,Office,Binders,13,184.14,2393.82,1583.01,0.1
2496,2024-01-16,CUST-040,North,Office,Paper,3,462.18,1386.54,1245.18,0.0
3725,2024-01-16,CUST-052,East,Office,Stapler,1,24.77,24.77,21.46,0.1
3286,2024-01-17,CUST-051,West,Office,Binders,11,639.13,7030.43,4842.09,0.0
1912,2024-01-17,CUST-005,South,Office,Pens,8,436.47,3491.76,2940.0,0.05
1412,2024-01-17,CUST-058,South,Office,Paper,1,97.67,97.67,80.52,0.05
3758,2024-01-17,CUST-008,North,Technology,Laptop,1,164.39,164.39,100.53,0.0
